time,AFNOv2
2014-07-01,0.232
2014-07-02,0.057
2014-07-03,1.184
2014-07-04,0.714
2014-07-05,1.926
2014-07-06,0.362
2014-07-07,0.617
2014-07-08,0.355
2014-07-09,0.068
2014-07-10,0.287
2014-07-11,0.044
2014-07-12,0.026
2014-07-13,1.045
2014-07-14,0.365
2014-07-15,0.3
2014-07-16,0.093
2014-07-17,0.127
2014-07-18,0.01
2014-07-19,0.059
2014-07-20,0.919
2014-07-21,0.215
2014-07-22,0.164
2014-07-23,0.015
2014-07-24,0.001
2014-07-25,0.023
2014-07-26,0.002
2014-07-27,0.161
2014-07-28,0.274
2014-07-29,0.185
2014-07-30,0.498
2014-07-31,0.019
2014-08-01,1.491
2014-08-02,3.145
2014-08-03,0.416
2014-08-04,0.157
2014-08-05,0.308
2014-08-06,1.308
2014-08-07,0.169
2014-08-08,0.294
2014-08-09,3.674
2014-08-10,6.75
2014-08-11,2.972
2014-08-12,1.142
2014-08-13,2.541
2014-08-14,3.09
2014-08-15,0.289
2014-08-16,0.584
2014-08-17,4.06
2014-08-18,2.599
2014-08-19,2.125
2014-08-20,1.244
2014-08-21,2.007
2014-08-22,1.255
2014-08-23,2.409
2014-08-24,0.639
2014-08-25,1.127
2014-08-26,0.022
2014-08-27,0.027
2014-08-28,0.419
2014-08-29,1.777
2014-08-30,0.698
2014-08-31,0.063
2014-09-01,0.119
2014-09-02,0.131
2014-09-03,0.031
2014-09-04,0.003
2014-09-05,0.202
2014-09-06,1.323
2014-09-07,0.543
2014-09-08,0.246
2014-09-09,0.098
2014-09-10,0.068
2014-09-11,0.053
2014-09-12,0.066
2014-09-13,0.042
2014-09-14,0.061
2014-09-15,0.581
2014-09-16,0.07
2014-09-17,0.142
2014-09-18,0.007
2014-09-19,0.118
2014-09-20,2.047
2014-09-21,0.242
2014-09-22,0.039
2014-09-23,1.165
2014-09-24,1.597
2014-09-25,1.29
2014-09-26,0.058
2014-09-27,0.02
2014-09-28,0.086
2014-09-29,1.736
2014-09-30,0.721
2014-10-01,0.312
2014-10-02,0.016
2014-10-03,0.001
2014-10-04,0.817
2014-10-05,0.139
2014-10-06,1.392
2014-10-07,1.928
2014-10-08,3.24
2014-10-09,2.725
2014-10-10,1.632
2014-10-11,0.313
2014-10-12,0.124
2014-10-13,0.271
2014-10-14,2.9
2014-10-15,0.067
2014-10-16,2.618
2014-10-17,1.198
2014-10-18,6.251
2014-10-19,4.366
2014-10-20,2.133
2014-10-21,1.531
2014-10-22,0.42
2014-10-23,0.152
2014-10-24,0.672
2014-10-25,0.241
2014-10-26,0.114
2014-10-27,0.192
2014-10-28,10.121
2014-10-29,0.013
2014-10-30,0.914
2014-10-31,0.014
2014-11-01,0.42
2014-11-02,2.188
2014-11-03,1.32
2014-11-04,0.142
2014-11-05,0.331
2014-11-06,0.074
2014-11-07,4.328
2014-11-08,2.292
2014-11-09,0.059
2014-11-10,0.952
2014-11-11,0.809
2014-11-12,2.052
2014-11-13,0.137
2014-11-14,1.108
2014-11-15,0.512
2014-11-16,0.303
2014-11-17,1.176
2014-11-18,0.781
2014-11-19,0.373
2014-11-20,0.548
2014-11-21,0.57
2014-11-22,1.273
2014-11-23,0.603
2014-11-24,0.378
2014-11-25,0.005
2014-11-26,0.282
2014-11-27,0.871
2014-11-28,0.099
2014-11-29,0.509
2014-11-30,0.439
2014-12-01,0.022
2014-12-02,0.14
2014-12-03,0.004
2014-12-04,0.031
2014-12-05,0.303
2014-12-06,0.161
2014-12-07,1.692
2014-12-08,0.261
2014-12-09,0.633
2014-12-10,2.914
2014-12-11,2.292
2014-12-12,0.996
2014-12-13,0.153
2014-12-14,1.424
2014-12-15,0.63
2014-12-16,0.491
2014-12-17,0.425
2014-12-18,1.535
2014-12-19,1.781
2014-12-20,1.509
2014-12-21,0.761
2014-12-22,2.982
2014-12-23,4.049
2014-12-24,0.912
2014-12-25,0.577
2014-12-26,0.386
2014-12-27,0.065
2014-12-28,0.006
2014-12-29,0.023
2014-12-30,0.034
2014-12-31,0.103
2015-01-01,0.865
2015-01-02,1.603
2015-01-03,1.024
2015-01-04,0.015
2015-01-05,0.012
2015-01-06,0.757
2015-01-07,0.63
2015-01-08,1.958
2015-01-09,2.563
2015-01-10,3.817
2015-01-11,2.439
2015-01-12,1.325
2015-01-13,1.761
2015-01-14,1.631
2015-01-15,2.981
2015-01-16,1.193
2015-01-17,1.506
2015-01-18,0.327
2015-01-19,0.018
2015-01-20,0.008
2015-01-21,0.385
2015-01-22,0.046
2015-01-23,0.528
2015-01-24,0.532
2015-01-25,0.129
2015-01-26,0.884
2015-01-27,0.298
2015-01-28,1.484
2015-01-29,0.963
2015-01-30,0.052
2015-01-31,0.472
2015-02-01,0.369
2015-02-02,0.007
2015-02-03,0.028
2015-02-04,0.042
2015-02-05,0.14
2015-02-06,0.03
2015-02-07,0.001
2015-02-08,0.037
2015-02-09,0.009
2015-02-10,0.001
2015-02-11,0.038
2015-02-12,0.053
2015-02-13,0.983
2015-02-14,0.108
