Date,Time,Precip(mm)
01 Jan 2014,00:00,9.925667
01 Jan 2014,00:00,9.925667
02 Jan 2014,00:00,3.5007725
02 Jan 2014,00:00,3.5007725
03 Jan 2014,00:00,4.768255
03 Jan 2014,00:00,4.768255
04 Jan 2014,00:00,2.060771
04 Jan 2014,00:00,2.060771
05 Jan 2014,00:00,10.562803
05 Jan 2014,00:00,10.562803
06 Jan 2014,00:00,7.4185247
06 Jan 2014,00:00,7.4185247
07 Jan 2014,00:00,3.8863478
07 Jan 2014,00:00,3.8863478
08 Jan 2014,00:00,0.99944323
08 Jan 2014,00:00,0.99944323
09 Jan 2014,00:00,1.3710409
09 Jan 2014,00:00,1.3710409
10 Jan 2014,00:00,3.7222524
10 Jan 2014,00:00,3.7222524
11 Jan 2014,00:00,0.13464689
11 Jan 2014,00:00,0.13464689
12 Jan 2014,00:00,4.685901
12 Jan 2014,00:00,4.685901
13 Jan 2014,00:00,6.734256
13 Jan 2014,00:00,6.734256
14 Jan 2014,00:00,4.245389
14 Jan 2014,00:00,4.245389
15 Jan 2014,00:00,5.807769
15 Jan 2014,00:00,5.807769
16 Jan 2014,00:00,0.6918013
16 Jan 2014,00:00,0.6918013
17 Jan 2014,00:00,3.0316153
17 Jan 2014,00:00,3.0316153
18 Jan 2014,00:00,4.5043173
18 Jan 2014,00:00,4.5043173
19 Jan 2014,00:00,5.21848
19 Jan 2014,00:00,5.21848
20 Jan 2014,00:00,0.31713212
20 Jan 2014,00:00,0.31713212
21 Jan 2014,00:00,6.6698236
21 Jan 2014,00:00,6.6698236
22 Jan 2014,00:00,3.0505695
22 Jan 2014,00:00,3.0505695
23 Jan 2014,00:00,4.8191824
23 Jan 2014,00:00,4.8191824
24 Jan 2014,00:00,3.0493717
24 Jan 2014,00:00,3.0493717
25 Jan 2014,00:00,7.7725463
25 Jan 2014,00:00,7.7725463
26 Jan 2014,00:00,11.053476
26 Jan 2014,00:00,11.053476
27 Jan 2014,00:00,7.240344
27 Jan 2014,00:00,7.240344
28 Jan 2014,00:00,3.1760912
28 Jan 2014,00:00,3.1760912
29 Jan 2014,00:00,0.68028086
29 Jan 2014,00:00,0.68028086
30 Jan 2014,00:00,0.045245513
30 Jan 2014,00:00,0.045245513
31 Jan 2014,00:00,0.0
31 Jan 2014,00:00,0.0
01 Feb 2014,00:00,13.750855
01 Feb 2014,00:00,13.750855
02 Feb 2014,00:00,1.7930567
02 Feb 2014,00:00,1.7930567
03 Feb 2014,00:00,0.010065734
03 Feb 2014,00:00,0.010065734
04 Feb 2014,00:00,3.379017
04 Feb 2014,00:00,3.379017
05 Feb 2014,00:00,6.3731575
05 Feb 2014,00:00,6.3731575
06 Feb 2014,00:00,1.5508142
06 Feb 2014,00:00,1.5508142
07 Feb 2014,00:00,1.4610701
07 Feb 2014,00:00,1.4610701
08 Feb 2014,00:00,14.251572
08 Feb 2014,00:00,14.251572
09 Feb 2014,00:00,3.7944355
09 Feb 2014,00:00,3.7944355
10 Feb 2014,00:00,0.10676682
10 Feb 2014,00:00,0.10676682
11 Feb 2014,00:00,3.2462628
11 Feb 2014,00:00,3.2462628
12 Feb 2014,00:00,13.9913025
12 Feb 2014,00:00,13.9913025
13 Feb 2014,00:00,6.0941296
13 Feb 2014,00:00,6.0941296
14 Feb 2014,00:00,9.437371
14 Feb 2014,00:00,9.437371
15 Feb 2014,00:00,13.048451
15 Feb 2014,00:00,13.048451
16 Feb 2014,00:00,0.73707855
16 Feb 2014,00:00,0.73707855
17 Feb 2014,00:00,2.7533584
17 Feb 2014,00:00,2.7533584
18 Feb 2014,00:00,8.03606
18 Feb 2014,00:00,8.03606
19 Feb 2014,00:00,2.750987
19 Feb 2014,00:00,2.750987
20 Feb 2014,00:00,5.501857
20 Feb 2014,00:00,5.501857
21 Feb 2014,00:00,6.0914707
21 Feb 2014,00:00,6.0914707
22 Feb 2014,00:00,4.620473
22 Feb 2014,00:00,4.620473
23 Feb 2014,00:00,12.878738
23 Feb 2014,00:00,12.878738
24 Feb 2014,00:00,20.004261
24 Feb 2014,00:00,20.004261
25 Feb 2014,00:00,3.7089605
25 Feb 2014,00:00,3.7089605
26 Feb 2014,00:00,5.605493
26 Feb 2014,00:00,5.605493
27 Feb 2014,00:00,9.594016
27 Feb 2014,00:00,9.594016
28 Feb 2014,00:00,0.015962869
28 Feb 2014,00:00,0.015962869
01 Mar 2014,00:00,3.4521222
01 Mar 2014,00:00,3.4521222
02 Mar 2014,00:00,13.544409
02 Mar 2014,00:00,13.544409
03 Mar 2014,00:00,0.5258061
03 Mar 2014,00:00,0.5258061
04 Mar 2014,00:00,0.8030795
04 Mar 2014,00:00,0.8030795
05 Mar 2014,00:00,0.5784743
05 Mar 2014,00:00,0.5784743
06 Mar 2014,00:00,6.9252253
06 Mar 2014,00:00,6.9252253
07 Mar 2014,00:00,17.180626
07 Mar 2014,00:00,17.180626
08 Mar 2014,00:00,0.45157224
08 Mar 2014,00:00,0.45157224
09 Mar 2014,00:00,0.7856581
09 Mar 2014,00:00,0.7856581
10 Mar 2014,00:00,1.3022945
10 Mar 2014,00:00,1.3022945
11 Mar 2014,00:00,0.0
11 Mar 2014,00:00,0.0
12 Mar 2014,00:00,0.0
12 Mar 2014,00:00,0.0
13 Mar 2014,00:00,0.11828728
13 Mar 2014,00:00,0.11828728
14 Mar 2014,00:00,0.89518917
14 Mar 2014,00:00,0.89518917
15 Mar 2014,00:00,0.2617035
15 Mar 2014,00:00,0.2617035
16 Mar 2014,00:00,0.5469266
16 Mar 2014,00:00,0.5469266
17 Mar 2014,00:00,0.784697
17 Mar 2014,00:00,0.784697
18 Mar 2014,00:00,6.818868
18 Mar 2014,00:00,6.818868
19 Mar 2014,00:00,0.19396934
19 Mar 2014,00:00,0.19396934
20 Mar 2014,00:00,13.426147
20 Mar 2014,00:00,13.426147
21 Mar 2014,00:00,7.852493
21 Mar 2014,00:00,7.852493
22 Mar 2014,00:00,2.3297296
22 Mar 2014,00:00,2.3297296
23 Mar 2014,00:00,0.07878058
23 Mar 2014,00:00,0.07878058
24 Mar 2014,00:00,0.03129244
24 Mar 2014,00:00,0.03129244
25 Mar 2014,00:00,2.5748072
25 Mar 2014,00:00,2.5748072
26 Mar 2014,00:00,0.5369764
26 Mar 2014,00:00,0.5369764
27 Mar 2014,00:00,2.3684149
27 Mar 2014,00:00,2.3684149
28 Mar 2014,00:00,5.622385
28 Mar 2014,00:00,5.622385
29 Mar 2014,00:00,0.23325719
29 Mar 2014,00:00,0.23325719
30 Mar 2014,00:00,0.030074269
30 Mar 2014,00:00,0.030074269
31 Mar 2014,00:00,0.004744157
31 Mar 2014,00:00,0.004744157
01 Apr 2014,00:00,10.788925
01 Apr 2014,00:00,10.788925
02 Apr 2014,00:00,0.10646507
02 Apr 2014,00:00,0.10646507
03 Apr 2014,00:00,3.2278879
03 Apr 2014,00:00,3.2278879
04 Apr 2014,00:00,3.7355256
04 Apr 2014,00:00,3.7355256
05 Apr 2014,00:00,3.086131
