date,rain_mm_day
2013-07-01,0.4
2013-07-02,4.6
2013-07-03,0.0
2013-07-04,2.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,0.0
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,0.0
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,0.1
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,0.6
2013-07-23,8.5
2013-07-24,0.2
2013-07-25,3.1
2013-07-26,0.7
2013-07-27,1.0
2013-07-28,29.3
2013-07-29,13.1
2013-07-30,2.1
2013-07-31,11.1
2013-08-01,3.5
2013-08-02,1.1
2013-08-03,1.1
2013-08-04,7.4
2013-08-05,13.2
2013-08-06,0.0
2013-08-07,0.0
2013-08-08,1.1
2013-08-09,3.5
2013-08-10,0.4
2013-08-11,1.3
2013-08-12,0.2
2013-08-13,0.0
2013-08-14,0.8
2013-08-15,22.6
2013-08-16,1.1
2013-08-17,5.8
2013-08-18,0.3
2013-08-19,0.8
2013-08-20,1.4
2013-08-21,5.4
2013-08-22,0.7
2013-08-23,6.9
2013-08-24,0.1
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,0.3
2013-08-29,0.2
2013-08-30,1.7
2013-08-31,0.3
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,0.0
2013-09-04,0.0
2013-09-05,0.0
2013-09-06,16.1
2013-09-07,5.8
2013-09-08,0.2
2013-09-09,4.7
2013-09-10,0.0
2013-09-11,2.7
2013-09-12,5.0
2013-09-13,2.3
2013-09-14,0.0
2013-09-15,8.8
2013-09-16,1.0
2013-09-17,2.1
2013-09-18,0.3
2013-09-19,6.2
2013-09-20,0.0
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,0.3
2013-09-26,0.0
2013-09-27,1.1
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,0.0
2013-10-01,0.0
2013-10-02,4.4
2013-10-03,10.3
2013-10-04,5.7
2013-10-05,0.0
2013-10-06,1.0
2013-10-07,1.0
2013-10-08,0.0
2013-10-09,0.9
2013-10-10,0.0
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,9.4
2013-10-17,0.2
2013-10-18,8.3
2013-10-19,10.5
2013-10-20,3.5
2013-10-21,9.6
2013-10-22,23.0
2013-10-23,8.4
2013-10-24,0.0
2013-10-25,12.8
2013-10-26,6.6
2013-10-27,9.1
2013-10-28,1.0
2013-10-29,0.0
2013-10-30,7.3
2013-10-31,2.4
2013-11-01,0.0
2013-11-02,9.0
2013-11-03,0.9
2013-11-04,0.0
2013-11-05,0.6
2013-11-06,1.8
2013-11-07,0.8
2013-11-08,0.6
2013-11-09,0.7
2013-11-10,0.0
2013-11-11,2.4
2013-11-12,0.2
2013-11-13,2.8
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,2.4
2013-11-18,2.3
2013-11-19,1.9
2013-11-20,5.7
2013-11-21,0.0
2013-11-22,0.0
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,1.4
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,0.7
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,0.1
2013-12-03,0.7
2013-12-04,0.2
2013-12-05,7.9
2013-12-06,0.4
2013-12-07,0.1
2013-12-08,1.3
2013-12-09,0.5
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,6.8
2013-12-13,2.0
2013-12-14,13.1
2013-12-15,13.2
2013-12-16,6.4
2013-12-17,0.0
2013-12-18,10.9
2013-12-19,2.1
2013-12-20,12.4
2013-12-21,19.2
2013-12-22,1.8
2013-12-23,19.1
2013-12-24,8.5
2013-12-25,0.0
2013-12-26,2.1
2013-12-27,12.5
2013-12-28,0.3
2013-12-29,5.2
2013-12-30,31.7
2013-12-31,5.3
2014-01-01,11.2
2014-01-02,3.3
2014-01-03,4.2
2014-01-04,1.9
2014-01-05,12.6
2014-01-06,8.3
2014-01-07,4.3
2014-01-08,0.3
2014-01-09,0.9
2014-01-10,3.9
2014-01-11,0.1
2014-01-12,5.2
2014-01-13,8.0
2014-01-14,3.3
2014-01-15,8.0
2014-01-16,0.1
2014-01-17,2.0
2014-01-18,5.2
2014-01-19,4.4
2014-01-20,0.0
2014-01-21,7.9
2014-01-22,3.2
2014-01-23,3.9
2014-01-24,3.1
2014-01-25,7.6
2014-01-26,11.8
2014-01-27,5.7
2014-01-28,3.8
2014-01-29,0.2
2014-01-30,0.0
2014-01-31,9.5
2014-02-01,15.0
2014-02-02,0.9
2014-02-03,0.0
2014-02-04,4.0
2014-02-05,6.7
2014-02-06,0.9
2014-02-07,1.7
2014-02-08,14.1
2014-02-09,2.7
2014-02-10,0.0
2014-02-11,2.8
2014-02-12,14.0
2014-02-13,4.6
2014-02-14,11.1
2014-02-15,12.5
2014-02-16,0.8
2014-02-17,3.0
2014-02-18,9.0
2014-02-19,2.5
2014-02-20,6.7
2014-02-21,4.4
2014-02-22,4.3
2014-02-23,14.8
2014-02-24,22.7
2014-02-25,4.1
2014-02-26,5.9
2014-02-27,9.1
2014-02-28,0.0
2014-03-01,4.4
2014-03-02,13.5
2014-03-03,0.2
2014-03-04,0.7
2014-03-05,0.3
2014-03-06,10.3
2014-03-07,19.0
2014-03-08,0.5
2014-03-09,0.4
2014-03-10,1.1
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,0.1
2014-03-14,0.4
2014-03-15,0.0
2014-03-16,0.1
2014-03-17,0.0
2014-03-18,6.7
2014-03-19,0.0
2014-03-20,13.7
2014-03-21,8.5
2014-03-22,1.2
2014-03-23,0.0
2014-03-24,0.0
2014-03-25,1.8
2014-03-26,0.0
2014-03-27,2.1
2014-03-28,6.2
2014-03-29,0.0
2014-03-30,0.0
2014-03-31,0.8
2014-04-01,11.4
2014-04-02,0.0
2014-04-03,4.3
2014-04-04,4.2
2014-04-05,3.0
2014-04-06,4.6
2014-04-07,7.5
2014-04-08,1.5
2014-04-09,1.0
2014-04-10,0.5
2014-04-11,0.1
2014-04-12,0.3
2014-04-13,1.1
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,0.3
2014-04-17,1.0
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,2.4
2014-04-23,2.2
2014-04-24,0.3
2014-04-25,8.4
2014-04-26,1.9
2014-04-27,1.7
2014-04-28,2.4
2014-04-29,0.5
2014-04-30,6.9
2014-05-01,4.1
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.8
2014-05-05,1.7
2014-05-06,3.8
2014-05-07,9.0
2014-05-08,1.6
2014-05-09,6.1
2014-05-10,15.3
2014-05-11,9.5
2014-05-12,10.7
2014-05-13,0.8
2014-05-14,0.0
2014-05-15,0.4
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,1.9
2014-05-20,1.8
2014-05-21,0.1
2014-05-22,2.1
2014-05-23,1.8
2014-05-24,3.3
2014-05-25,10.5
2014-05-26,2.2
2014-05-27,0.1
2014-05-28,7.3
2014-05-29,0.3
2014-05-30,0.0
2014-05-31,0.0
2014-06-01,1.9
2014-06-02,1.8
2014-06-03,1.4
2014-06-04,11.8
2014-06-05,2.3
2014-06-06,0.0
2014-06-07,12.3
2014-06-08,2.8
2014-06-09,12.0
2014-06-10,9.0
2014-06-11,0.1
2014-06-12,0.0
2014-06-13,1.6
2014-06-14,1.4
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,0.4
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.6
2014-06-24,1.2
2014-06-25,2.2
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,0.0
2014-07-01,0.2
2014-07-02,0.4
2014-07-03,0.4
2014-07-04,10.6
2014-07-05,2.5
2014-07-06,0.7
2014-07-07,0.5
2014-07-08,5.1
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,0.0
2014-07-12,6.2
2014-07-13,2.6
2014-07-14,2.8
2014-07-15,0.0
2014-07-16,4.7
2014-07-17,0.3
2014-07-18,4.2
2014-07-19,19.3
2014-07-20,0.3
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,0.0
2014-07-24,0.0
2014-07-25,0.0
2014-07-26,4.0
2014-07-27,3.8
2014-07-28,0.0
2014-07-29,0.0
2014-07-30,0.5
2014-07-31,2.4
